"title","year","decade","genre_main","imdb_weighted_rating","budget","revenue","profit","profitability","log_budget","log_revenue","tag"
"Gallipoli",1981,"1980s","War",7.3723487620459,2600000,17400000,14800000,5.69230769230769,6.41497334797082,7.2405492482826,"Intermedia"
"The Great Muppet Caper",1981,"1980s","Family",7.05032522616458,1.4e+07,31206251,17206251,1.22901792857143,7.14612803567824,7.49424159731609,"Intermedia"
"Quest for Fire",1981,"1980s","Adventure",7.25762068959541,1.2e+07,55260558,43260558,3.6050465,7.07918124604763,7.74241526594237,"Intermedia"
"Halloween II",1981,"1980s","Horror",6.49691839516811,2500000,25533818,23033818,9.2135272,6.39794000867204,7.40711575849236,"Intermedia"
"Happy Birthday to Me",1981,"1980s","Horror",6.01169954251502,3500000,10600000,7100000,2.02857142857143,6.54406804435028,7.02530586526477,"Intermedia"
"Heavy Metal",1981,"1980s","Animation",6.58941323808323,9300000,20118654,10818654,1.16329612903226,6.96848294855393,7.30359892171557,"Intermedia"
"History of the World: Part I",1981,"1980s","Comedy",6.78908105936505,1e+07,31672907,21672907,2.1672907,7,7.50068792557968,"Intermedia"
"Lady Chatterley's Lover",1981,"1980s","Drama",5.40496348980303,3e+06,3100000,1e+05,0.0333333333333333,6.47712125471966,6.49136169383427,"Baja calidad + poco rentable"
"Mad Max 2",1981,"1980s","Adventure",7.59318727694819,2e+06,24600832,22600832,11.300416,6.30102999566398,7.39094979518869,"Alta calidad + muy rentable"
"Modern Problems",1981,"1980s","Comedy",5.16292974558904,8e+06,26154211,18154211,2.269276375,6.90308998699194,7.41754162310118,"Intermedia"
"Mommie Dearest",1981,"1980s","Drama",6.67370926417782,5e+06,19032261,14032261,2.8064522,6.69897000433602,7.27949038479227,"Intermedia"
"My Bloody Valentine",1981,"1980s","Horror",6.29491117299746,2200000,5672031,3472031,1.57819590909091,6.34242268082221,6.75373859578082,"Intermedia"
"Neighbors",1981,"1980s","Comedy",5.56430525227867,8500000,29916207,21416207,2.51955376470588,6.92941892571429,7.47590652958706,"Intermedia"
"Nighthawks",1981,"1980s","Action",6.29404130595485,5e+06,19905359,14905359,2.9810718,6.69897000433602,7.29897001464119,"Intermedia"
"On Golden Pond",1981,"1980s","Drama",7.56218054990895,1.5e+07,119285432,104285432,6.95236213333333,7.17609125905568,8.07658740772454,"Alta calidad + muy rentable"
"Outland",1981,"1980s","Science Fiction",6.58754299714175,1.8e+07,17374595,-625405,-0.0347447222222222,7.25527250510331,7.23991469002099,"Intermedia"
"Pennies from Heaven",1981,"1980s","Drama",6.45512172213176,2.2e+07,9171289,-12828711,-0.583123227272727,7.34242268082221,6.96243037888112,"Intermedia"
"Possession",1981,"1980s","Horror",7.18119211482738,2400000,1200000,-1200000,-0.5,6.38021124171161,6.07918124604763,"Intermedia"
"The Postman Always Rings Twice",1981,"1980s","Crime",6.58432290318615,1.2e+07,12376625,376625,0.0313854166666667,7.07918124604763,7.09260223242996,"Intermedia"
"Prince of the City",1981,"1980s","Drama",7.29120059667587,8600000,8124257,-475743,-0.0553189534883721,6.93449845124357,6.90978365327492,"Intermedia"
